都道府県,市区町村,年齢,性別,商品券決済日時,商品券決済金額,産業,3市町
愛知県,春日井市,49,女性,2022/10/08 10:47,"2,210",打刃物,越前市
福井県,鯖江市,60,女性,2022/10/08 10:49,"2,300",飲食,鯖江市
東京都,世田谷区,29,女性,2022/10/08 10:49,500,その他,鯖江市
群馬県,太田市,38,女性,2022/10/08 10:49,"1,000",眼鏡,鯖江市
愛知県,岡崎市,23,女性,2022/10/08 10:52,640,飲食,鯖江市
兵庫県,明石市,56,男性,2022/10/08 10:53,"4,300",飲食,鯖江市
福井県,越前市,45,男性,2022/10/08 10:54,"1,400",その他,鯖江市
福井県,鯖江市,60,男性,2022/10/08 10:55,400,漆器,鯖江市
福井県,坂井市,60,男性,2022/10/08 10:56,"1,000",その他,鯖江市
富山県,鯖江市,56,回答なし,2022/10/08 10:57,"39,600",眼鏡,鯖江市
福井県,大野市,47,男性,2022/10/08 10:57,"6,000",漆器,鯖江市
大阪府,堺市,36,男性,2022/10/08 10:58,"6,000",漆器,鯖江市
福井県,坂井市,47,女性,2022/10/08 10:58,"2,800",飲食,鯖江市
大阪府,大阪市,47,女性,2022/10/08 11:00,"3,000",漆器,鯖江市
三重県,松阪市,21,男性,2022/10/08 11:00,"5,786",その他,鯖江市
埼玉県,小川町,32,男性,2022/10/08 11:01,"3,620",漆器,鯖江市
福井県,福井市,21,女性,2022/10/08 11:01,500,その他,鯖江市
福井県,福井市,25,女性,2022/10/08 11:02,"8,400",漆器,鯖江市
神奈川県,横浜市,49,男性,2022/10/08 11:03,"4,000",漆器,鯖江市
福井県,福井市,52,女性,2022/10/08 11:03,"3,060",その他,鯖江市
東京都,狛江市,32,女性,2022/10/08 11:05,821,漆器,鯖江市
福井県,福井市,33,男性,2022/10/08 11:05,"3,600",飲食,鯖江市
福井県,坂井市,54,女性,2022/10/08 11:06,"4,000",焼物,越前町
福井県,鯖江市,60,女性,2022/10/08 11:07,"1,600",飲食,鯖江市
福井県,鯖江市,42,女性,2022/10/08 11:10,"6,000",飲食,鯖江市
福井県,福井市,38,女性,2022/10/08 11:11,"3,500",漆器,鯖江市
福井県,福井市,47,男性,2022/10/08 11:11,"2,200",眼鏡,鯖江市
福井県,鯖江市,60,女性,2022/10/08 11:12,400,飲食,鯖江市
福井県,福井市,32,男性,2022/10/08 11:13,960,飲食,鯖江市
東京都,武蔵野市,31,女性,2022/10/08 11:13,"5,060",その他,鯖江市
福井県,越前市,25,女性,2022/10/08 11:15,"1,000",飲食,鯖江市
東京都,武蔵野市,31,女性,2022/10/08 11:15,691,その他,鯖江市
滋賀県,湖南市,35,女性,2022/10/08 11:15,"2,000",その他,鯖江市
福井県,坂井市,47,女性,2022/10/08 11:18,"1,000",その他,鯖江市
愛知県,岡崎市,23,女性,2022/10/08 11:18,"1,100",漆器,鯖江市
福井県,越前市,48,女性,2022/10/08 11:19,"4,600",飲食,鯖江市
福井県,鯖江市,43,男性,2022/10/08 11:23,"2,000",その他,鯖江市
東京都,中央区,40,女性,2022/10/08 11:23,"1,800",打刃物,越前市
福井県,越前市,38,女性,2022/10/08 11:24,"2,900",漆器,鯖江市
福井県,福井市,52,女性,2022/10/08 11:24,"2,395",漆器,鯖江市
福井県,福井市,37,男性,2022/10/08 11:24,640,飲食,鯖江市
東京都,中央区,43,女性,2022/10/08 11:26,"3,800",打刃物,越前市
福井県,越前市,25,女性,2022/10/08 11:26,"2,800",飲食,鯖江市
群馬県,太田市,38,女性,2022/10/08 11:29,"3,500",漆器,鯖江市
福井県,福井市,57,女性,2022/10/08 11:29,"2,700",眼鏡,鯖江市
福井県,勝山市,44,男性,2022/10/08 11:31,900,飲食,鯖江市
滋賀県,彦根市,20,女性,2022/10/08 11:32,800,和紙,越前市
東京都,武蔵野市,31,女性,2022/10/08 11:32,300,飲食,鯖江市
福井県,福井市,41,女性,2022/10/08 11:33,"1,000",その他,鯖江市
石川県,金沢市,26,女性,2022/10/08 11:34,600,和紙,越前市
滋賀県,彦根市,21,女性,2022/10/08 11:34,"2,150",和紙,越前市
福井県,敦賀市,49,女性,2022/10/08 11:34,"2,200",漆器,鯖江市
群馬県,桐生市,25,女性,2022/10/08 11:36,"1,978",その他,鯖江市
福井県,鯖江市,58,男性,2022/10/08 11:38,"15,000",漆器,鯖江市
和歌山県,和歌山市,46,男性,2022/10/08 11:39,"2,592",漆器,鯖江市
東京都,墨田区,28,女性,2022/10/08 11:40,500,眼鏡,鯖江市
富山県,高岡市,69,男性,2022/10/08 11:41,500,飲食,鯖江市
兵庫県,川西市,35,男性,2022/10/08 11:41,"6,000",その他,鯖江市
大阪府,高石市,33,男性,2022/10/08 11:41,200,和紙,越前市
福井県,鯖江市,43,男性,2022/10/08 11:42,"1,200",飲食,鯖江市
愛知県,蒲郡市,23,女性,2022/10/08 11:43,"2,000",その他,鯖江市
静岡県,島田市,29,女性,2022/10/08 11:43,"1,650",漆器,鯖江市
兵庫県,明石市,56,男性,2022/10/08 11:45,"1,700",その他,鯖江市
福井県,坂井市,60,男性,2022/10/08 11:45,500,飲食,鯖江市
福井県,大野市,46,女性,2022/10/08 11:50,"2,900",漆器,鯖江市
福井県,福井市,33,女性,2022/10/08 11:50,"2,000",漆器,鯖江市
福井県,鯖江市,35,男性,2022/10/08 11:51,"1,980",その他,鯖江市
兵庫県,尼崎市,23,女性,2022/10/08 11:53,"18,000",眼鏡,鯖江市
福井県,福井市,41,女性,2022/10/08 11:54,"3,500",漆器,鯖江市
福井県,福井市,21,女性,2022/10/08 11:54,300,飲食,鯖江市
福井県,福井市,32,男性,2022/10/08 11:55,"5,900",飲食,鯖江市
福井県,福井市,32,女性,2022/10/08 11:57,"16,000",眼鏡,鯖江市
福井県,福井市,36,女性,2022/10/08 11:57,"6,000",漆器,鯖江市
福井県,福井市,32,女性,2022/10/08 11:58,"7,200",眼鏡,鯖江市
福井県,福井市,24,女性,2022/10/08 11:59,"6,000",飲食,鯖江市
福井県,福井市,48,男性,2022/10/08 12:01,"24,910",打刃物,越前市
福井県,福井市,38,女性,2022/10/08 12:04,200,漆器,鯖江市
東京都,中央区,40,女性,2022/10/08 12:04,550,その他,越前市
富山県,高岡市,69,男性,2022/10/08 12:06,"1,500",その他,鯖江市
富山県,鯖江市,56,回答なし,2022/10/08 12:07,"2,500",打刃物,越前市
福井県,坂井市,47,女性,2022/10/08 12:09,"1,000",その他,鯖江市
富山県,鯖江市,56,回答なし,2022/10/08 12:10,"41,900",打刃物,越前市
滋賀県,湖南市,35,女性,2022/10/08 12:10,"4,000",その他,鯖江市
神奈川県,鎌倉市,38,女性,2022/10/08 12:10,"6,000",漆器,鯖江市
静岡県,島田市,29,女性,2022/10/08 12:11,"1,188",その他,鯖江市
福井県,鯖江市,43,男性,2022/10/08 12:12,200,漆器,鯖江市
東京都,北区,33,女性,2022/10/08 12:12,640,飲食,鯖江市
福井県,坂井市,30,男性,2022/10/08 12:13,640,飲食,鯖江市
福井県,美浜町,31,男性,2022/10/08 12:13,"6,000",飲食,鯖江市
福井県,敦賀市,49,女性,2022/10/08 12:14,"3,800",漆器,鯖江市
奈良県,奈良市,30,男性,2022/10/08 12:14,500,その他,鯖江市
奈良県,奈良市,39,女性,2022/10/08 12:14,500,その他,鯖江市
福井県,鯖江市,25,女性,2022/10/08 12:15,"1,280",飲食,鯖江市
福井県,越前市,64,男性,2022/10/08 12:15,"1,584",漆器,鯖江市
福井県,鯖江市,43,男性,2022/10/08 12:16,500,飲食,鯖江市
東京都,八王子市,22,女性,2022/10/08 12:20,320,飲食,鯖江市
群馬県,太田市,38,女性,2022/10/08 12:20,400,漆器,鯖江市
福井県,福井市,25,女性,2022/10/08 12:22,"1,726",その他,鯖江市
福井県,越前市,64,男性,2022/10/08 12:27,972,漆器,鯖江市
愛知県,岡崎市,23,女性,2022/10/08 12:28,"2,530",その他,鯖江市
福井県,鯖江市,43,男性,2022/10/08 12:28,500,その他,鯖江市
福井県,鯖江市,35,男性,2022/10/08 12:29,470,その他,鯖江市
石川県,金沢市,23,女性,2022/10/08 12:30,320,飲食,鯖江市
福井県,福井市,21,女性,2022/10/08 12:30,500,その他,鯖江市
東京都,江東区,22,男性,2022/10/08 12:31,200,漆器,鯖江市
福井県,越前市,27,女性,2022/10/08 12:32,"1,400",飲食,鯖江市
福井県,鯖江市,55,女性,2022/10/08 12:33,"2,310",漆器,鯖江市
福井県,福井市,33,女性,2022/10/08 12:34,"1,137",眼鏡,鯖江市
東京都,品川区,50,女性,2022/10/08 12:35,"3,960",眼鏡,鯖江市
岐阜県,大垣市,50,女性,2022/10/08 12:35,"2,000",漆器,鯖江市
福井県,鯖江市,48,女性,2022/10/08 12:35,"1,610",その他,鯖江市
福井県,福井市,57,男性,2022/10/08 12:35,"2,000",その他,鯖江市
東京都,世田谷区,29,女性,2022/10/08 12:36,"3,800",繊維,鯖江市
福井県,越前市,64,男性,2022/10/08 12:38,"2,400",漆器,鯖江市
東京都,墨田区,28,女性,2022/10/08 12:38,320,飲食,鯖江市
福井県,鯖江市,39,男性,2022/10/08 12:40,960,飲食,鯖江市
福井県,福井市,32,男性,2022/10/08 12:40,"3,500",漆器,鯖江市
石川県,金沢市,29,女性,2022/10/08 12:40,"2,000",その他,鯖江市
東京都,調布市,60,女性,2022/10/08 12:41,"5,500",その他,鯖江市
福井県,福井市,32,女性,2022/10/08 12:42,"5,500",その他,鯖江市
福井県,坂井市,47,女性,2022/10/08 12:42,880,飲食,鯖江市
東京都,小金井市,22,女性,2022/10/08 12:43,"3,740",その他,鯖江市
東京都,江東区,22,男性,2022/10/08 12:43,"1,650",漆器,鯖江市
福井県,鯖江市,58,女性,2022/10/08 12:43,"1,000",その他,鯖江市
滋賀県,近江八幡市,37,男性,2022/10/08 12:44,500,その他,鯖江市
群馬県,太田市,38,女性,2022/10/08 12:45,"4,300",漆器,鯖江市
福井県,鯖江市,51,女性,2022/10/08 12:46,800,漆器,鯖江市
神奈川県,鎌倉市,21,女性,2022/10/08 12:46,"1,850",漆器,鯖江市
福井県,鯖江市,58,男性,2022/10/08 12:47,"4,191",飲食,鯖江市
兵庫県,明石市,39,男性,2022/10/08 12:47,"3,600",その他,鯖江市
福井県,福井市,33,男性,2022/10/08 12:48,"1,580",漆器,鯖江市
福井県,鯖江市,48,女性,2022/10/08 12:48,"2,073",その他,鯖江市
福井県,越前市,64,男性,2022/10/08 12:50,"1,044",漆器,鯖江市
福井県,鯖江市,25,女性,2022/10/08 12:50,"2,800",飲食,鯖江市
福井県,福井市,25,女性,2022/10/08 12:50,"1,700",箪笥,越前市
福井県,福井市,28,女性,2022/10/08 12:51,"1,400",飲食,鯖江市
愛知県,岡崎市,23,女性,2022/10/08 12:51,"6,230",漆器,鯖江市
京都府,大山崎町,33,女性,2022/10/08 12:51,"4,663",その他,鯖江市
滋賀県,甲賀市,25,女性,2022/10/08 12:51,"1,400",その他,鯖江市
大阪府,豊中市,55,男性,2022/10/08 12:52,"1,000",その他,鯖江市
福井県,福井市,38,女性,2022/10/08 12:59,"3,500",その他,鯖江市
福井県,福井市,47,男性,2022/10/08 13:00,"1,650",漆器,鯖江市
東京都,渋谷区,41,男性,2022/10/08 13:00,"1,000",その他,鯖江市
神奈川県,川崎市,24,男性,2022/10/08 13:00,320,飲食,鯖江市
岡山県,倉敷市,56,男性,2022/10/08 13:01,"2,000",漆器,鯖江市
兵庫県,神戸市,38,女性,2022/10/08 13:01,320,飲食,鯖江市
大阪府,吹田市,54,男性,2022/10/08 13:01,320,飲食,鯖江市
福井県,福井市,41,女性,2022/10/08 13:02,"8,750",飲食,鯖江市
山形県,山形市,19,女性,2022/10/08 13:04,"1,500",その他,鯖江市
福井県,大野市,46,女性,2022/10/08 13:04,"2,500",漆器,鯖江市
福井県,勝山市,44,男性,2022/10/08 13:04,600,飲食,鯖江市
福井県,若狭町,53,女性,2022/10/08 13:05,320,飲食,鯖江市
福井県,坂井市,31,男性,2022/10/08 13:08,"1,000",その他,鯖江市
石川県,金沢市,27,男性,2022/10/08 13:08,"31,680",眼鏡,鯖江市
石川県,金沢市,22,男性,2022/10/08 13:09,"23,100",眼鏡,鯖江市
福井県,福井市,47,男性,2022/10/08 13:10,"3,300",漆器,鯖江市
福井県,福井市,55,女性,2022/10/08 13:10,600,打刃物,越前市
福井県,鯖江市,27,女性,2022/10/08 13:10,"1,636",その他,鯖江市
福井県,福井市,30,男性,2022/10/08 13:11,"1,400",飲食,鯖江市
福井県,福井市,48,女性,2022/10/08 13:13,"3,000",漆器,鯖江市
富山県,富山市,24,女性,2022/10/08 13:14,"1,000",その他,鯖江市
福井県,福井市,30,男性,2022/10/08 13:15,320,飲食,鯖江市
福井県,福井市,47,男性,2022/10/08 13:18,"2,000",漆器,鯖江市
福井県,坂井市,60,男性,2022/10/08 13:18,"2,420",和紙,越前市
山形県,山形市,21,男性,2022/10/08 13:19,"1,650",漆器,鯖江市
福井県,越前市,57,男性,2022/10/08 13:20,"3,500",漆器,鯖江市
兵庫県,明石市,39,男性,2022/10/08 13:21,960,飲食,鯖江市
福井県,福井市,21,女性,2022/10/08 13:24,495,その他,鯖江市
福井県,鯖江市,39,男性,2022/10/08 13:24,"3,600",飲食,鯖江市
福井県,福井市,26,男性,2022/10/08 13:25,"2,200",眼鏡,鯖江市
岡山県,倉敷市,56,男性,2022/10/08 13:25,"4,000",漆器,鯖江市
福井県,鯖江市,26,女性,2022/10/08 13:26,"9,240",漆器,鯖江市
東京都,渋谷区,41,男性,2022/10/08 13:26,"1,000",その他,鯖江市
東京都,渋谷区,41,男性,2022/10/08 13:27,500,その他,鯖江市
兵庫県,西宮市,30,女性,2022/10/08 13:28,"11,704",漆器,鯖江市
神奈川県,横浜市,58,男性,2022/10/08 13:28,"1,100",和紙,越前市
福井県,越前市,22,男性,2022/10/08 13:29,"5,720",漆器,鯖江市
神奈川県,小田原市,29,女性,2022/10/08 13:30,"8,525",その他,鯖江市
福井県,福井市,25,女性,2022/10/08 13:31,820,箪笥,越前市
石川県,金沢市,26,女性,2022/10/08 13:32,200,和紙,越前市
静岡県,島田市,29,女性,2022/10/08 13:32,605,その他,鯖江市
福井県,鯖江市,37,女性,2022/10/08 13:32,"4,800",飲食,鯖江市
福井県,福井市,37,女性,2022/10/08 13:33,"7,700",漆器,鯖江市
福井県,福井市,26,男性,2022/10/08 13:35,400,漆器,鯖江市
富山県,氷見市,27,女性,2022/10/08 13:36,"1,650",和紙,越前市
福井県,越前市,57,男性,2022/10/08 13:38,800,漆器,鯖江市
福井県,おおい町,37,女性,2022/10/08 13:38,"1,000",その他,鯖江市
東京都,北区,33,女性,2022/10/08 13:38,"47,360",その他,鯖江市
福井県,福井市,52,男性,2022/10/08 13:39,500,その他,鯖江市
東京都,狛江市,32,女性,2022/10/08 13:39,"3,300",和紙,越前市
福井県,鯖江市,51,女性,2022/10/08 13:39,"1,000",その他,鯖江市
福井県,越前市,39,女性,2022/10/08 13:40,660,和紙,越前市
福井県,福井市,23,男性,2022/10/08 13:40,500,その他,鯖江市
福井県,福井市,57,女性,2022/10/08 13:40,"1,650",漆器,鯖江市
福井県,鯖江市,55,女性,2022/10/08 13:41,"1,650",漆器,鯖江市
佐賀県,有田町,33,男性,2022/10/08 13:41,900,和紙,越前市
東京都,墨田区,28,女性,2022/10/08 13:43,"4,000",漆器,鯖江市
大阪府,吹田市,54,男性,2022/10/08 13:44,"5,680",漆器,鯖江市
富山県,高岡市,69,男性,2022/10/08 13:45,"4,000",漆器,鯖江市
福井県,福井市,41,女性,2022/10/08 13:45,500,その他,鯖江市
福井県,坂井市,30,男性,2022/10/08 13:45,"1,000",その他,鯖江市
福井県,福井市,59,女性,2022/10/08 13:46,"12,000",打刃物,越前市
福井県,坂井市,50,男性,2022/10/08 13:50,320,飲食,鯖江市
福井県,大野市,46,女性,2022/10/08 13:50,400,漆器,鯖江市
福井県,福井市,37,男性,2022/10/08 13:50,640,飲食,鯖江市
富山県,氷見市,27,女性,2022/10/08 13:51,600,和紙,越前市
神奈川県,鎌倉市,31,女性,2022/10/08 13:54,"2,500",漆器,鯖江市
東京都,葛飾区,31,女性,2022/10/08 13:55,"1,600",繊維,越前市
福井県,鯖江市,55,女性,2022/10/08 13:58,"4,554",漆器,鯖江市
福井県,敦賀市,51,男性,2022/10/08 13:59,"9,218",漆器,鯖江市
福井県,福井市,57,女性,2022/10/08 14:00,"1,650",漆器,鯖江市
福井県,福井市,48,男性,2022/10/08 14:00,"3,600",飲食,鯖江市
福井県,福井市,41,女性,2022/10/08 14:01,"4,400",漆器,鯖江市
福井県,福井市,36,男性,2022/10/08 14:01,900,飲食,鯖江市
福井県,坂井市,60,男性,2022/10/08 14:03,"6,100",箪笥,越前市
佐賀県,有田町,33,男性,2022/10/08 14:03,"2,300",和紙,越前市
大阪府,豊中市,55,男性,2022/10/08 14:03,"11,000",打刃物,越前市
福井県,大野市,46,女性,2022/10/08 14:03,200,その他,鯖江市
石川県,金沢市,29,女性,2022/10/08 14:05,"2,970",その他,鯖江市
福井県,福井市,23,男性,2022/10/08 14:05,960,飲食,鯖江市
大阪府,大阪市東成区,31,女性,2022/10/08 14:07,"8,000",漆器,鯖江市
福井県,越前市,39,女性,2022/10/08 14:07,640,飲食,鯖江市
福井県,福井市,41,女性,2022/10/08 14:07,200,漆器,鯖江市
大阪府,枚方市,30,女性,2022/10/08 14:07,"4,000",漆器,鯖江市
福井県,敦賀市,50,女性,2022/10/08 14:08,500,その他,鯖江市
福井県,福井市,23,女性,2022/10/08 14:08,"3,950",飲食,鯖江市
大阪府,大阪市,31,男性,2022/10/08 14:08,"4,000",漆器,鯖江市
福井県,福井市,39,男性,2022/10/08 14:08,"1,000",その他,鯖江市
兵庫県,明石市,39,男性,2022/10/08 14:09,"3,960",漆器,鯖江市
三重県,菰野町,47,女性,2022/10/08 14:09,"1,500",その他,鯖江市
福井県,福井市,52,男性,2022/10/08 14:11,"1,000",その他,鯖江市
福井県,越前市,58,女性,2022/10/08 14:12,"3,800",漆器,鯖江市
福井県,鯖江市,23,女性,2022/10/08 14:13,"3,000",漆器,鯖江市
福井県,福井市,46,女性,2022/10/08 14:14,"3,900",漆器,鯖江市
福井県,敦賀市,51,男性,2022/10/08 14:14,"2,782",飲食,鯖江市
福井県,越前町,57,男性,2022/10/08 14:15,"5,940",漆器,鯖江市
福井県,大野市,26,男性,2022/10/08 14:15,"11,500",漆器,鯖江市
福井県,福井市,46,女性,2022/10/08 14:15,"1,700",漆器,鯖江市
大阪府,高石市,33,男性,2022/10/08 14:16,"1,400",漆器,鯖江市
東京都,杉並区,49,男性,2022/10/08 14:16,500,その他,鯖江市
福井県,福井市,36,男性,2022/10/08 14:17,"2,397",漆器,鯖江市
佐賀県,有田町,33,男性,2022/10/08 14:17,"1,600",和紙,越前市
福井県,坂井市,30,男性,2022/10/08 14:17,"2,250",飲食,鯖江市
福井県,福井市,41,女性,2022/10/08 14:18,"2,000",飲食,鯖江市
香川県,高松市,58,男性,2022/10/08 14:19,"1,500",和紙,越前市
兵庫県,神戸市,38,女性,2022/10/08 14:19,"1,620",漆器,鯖江市
奈良県,香芝市,54,男性,2022/10/08 14:19,500,和紙,越前市
奈良県,奈良市,38,女性,2022/10/08 14:19,"1,620",漆器,鯖江市
福井県,福井市,23,女性,2022/10/08 14:20,960,飲食,鯖江市
福井県,坂井市,30,男性,2022/10/08 14:20,500,飲食,鯖江市
福井県,福井市,21,女性,2022/10/08 14:21,850,飲食,鯖江市
大阪府,大阪市,47,女性,2022/10/08 14:21,"1,500",和紙,越前市
神奈川県,横浜市,58,男性,2022/10/08 14:22,330,和紙,越前市
福井県,鯖江市,61,男性,2022/10/08 14:24,"10,500",打刃物,越前市
福井県,越前市,41,男性,2022/10/08 14:25,"1,000",その他,鯖江市
福井県,坂井市,30,男性,2022/10/08 14:25,500,その他,鯖江市
福井県,鯖江市,59,女性,2022/10/08 14:26,"1,600",漆器,鯖江市
福井県,鯖江市,20,男性,2022/10/08 14:27,"6,710",その他,鯖江市
福井県,鯖江市,37,女性,2022/10/08 14:28,"5,550",漆器,鯖江市
東京都,江東区,22,男性,2022/10/08 14:28,"1,769",その他,鯖江市
福井県,鯖江市,23,女性,2022/10/08 14:28,320,飲食,鯖江市
福井県,鯖江市,37,女性,2022/10/08 14:29,"5,330",漆器,鯖江市
福井県,坂井市,30,男性,2022/10/08 14:29,960,飲食,鯖江市
神奈川県,藤沢市,30,女性,2022/10/08 14:31,320,飲食,鯖江市
福井県,坂井市,31,男性,2022/10/08 14:31,"1,000",和紙,越前市
神奈川県,横浜市,28,男性,2022/10/08 14:31,320,飲食,鯖江市
福井県,福井市,37,女性,2022/10/08 14:32,"4,300",その他,鯖江市
福井県,鯖江市,39,男性,2022/10/08 14:32,"7,400",漆器,鯖江市
福井県,福井市,38,女性,2022/10/08 14:32,"3,440",和紙,越前市
石川県,金沢市,22,男性,2022/10/08 14:32,500,その他,鯖江市
福井県,坂井市,28,女性,2022/10/08 14:33,"2,500",漆器,鯖江市
兵庫県,神戸市,45,女性,2022/10/08 14:34,"1,000",その他,鯖江市
福井県,福井市,28,女性,2022/10/08 14:34,"1,540",その他,鯖江市
福井県,大野市,26,男性,2022/10/08 14:35,"4,620",漆器,鯖江市
富山県,氷見市,27,女性,2022/10/08 14:35,"3,750",眼鏡,鯖江市
福井県,越前市,23,女性,2022/10/08 14:37,"1,500",その他,鯖江市
福井県,福井市,49,女性,2022/10/08 14:40,"5,170",その他,鯖江市
福井県,坂井市,55,女性,2022/10/08 14:40,"5,500",漆器,鯖江市
福井県,福井市,23,女性,2022/10/08 14:41,"1,500",その他,鯖江市
福井県,越前市,58,女性,2022/10/08 14:41,"2,200",漆器,鯖江市
福井県,越前市,57,男性,2022/10/08 14:42,"1,400",漆器,鯖江市
福井県,鯖江市,47,男性,2022/10/08 14:42,"5,720",漆器,鯖江市
福井県,鯖江市,57,女性,2022/10/08 14:43,"3,520",その他,鯖江市
神奈川県,藤沢市,30,女性,2022/10/08 14:43,500,その他,鯖江市
神奈川県,横浜市,28,男性,2022/10/08 14:43,500,その他,鯖江市
東京都,小金井市,26,女性,2022/10/08 14:43,500,その他,鯖江市
神奈川県,小田原市,29,女性,2022/10/08 14:45,"2,800",和紙,越前市
東京都,武蔵野市,31,女性,2022/10/08 14:45,500,和紙,越前市
福井県,福井市,30,男性,2022/10/08 14:46,"4,180",眼鏡,鯖江市
福井県,坂井市,55,女性,2022/10/08 14:48,500,漆器,鯖江市
静岡県,島田市,29,女性,2022/10/08 14:49,"1,650",和紙,越前市
兵庫県,明石市,39,男性,2022/10/08 14:50,600,和紙,越前市
大阪府,箕面市,31,男性,2022/10/08 14:50,500,その他,鯖江市
兵庫県,西宮市,26,男性,2022/10/08 14:50,"1,000",その他,鯖江市
石川県,金沢市,23,女性,2022/10/08 14:51,500,和紙,越前市
福井県,福井市,37,男性,2022/10/08 14:51,640,飲食,鯖江市
兵庫県,西宮市,30,女性,2022/10/08 14:52,"1,980",その他,鯖江市
福岡県,久留米市,48,女性,2022/10/08 14:52,500,その他,鯖江市
福井県,鯖江市,36,女性,2022/10/08 14:53,"3,200",焼物,越前町
熊本県,南関町,42,女性,2022/10/08 14:53,500,その他,鯖江市
福井県,鯖江市,39,男性,2022/10/08 14:53,640,飲食,鯖江市
福井県,福井市,35,男性,2022/10/08 14:55,"11,619",漆器,鯖江市
東京都,世田谷区,44,女性,2022/10/08 14:56,"11,127",漆器,鯖江市
福井県,越前市,39,女性,2022/10/08 14:56,"1,000",その他,鯖江市
福井県,鯖江市,37,女性,2022/10/08 14:57,"4,400",漆器,鯖江市
福井県,鯖江市,57,女性,2022/10/08 14:58,"2,300",その他,鯖江市
愛知県,愛西市,33,男性,2022/10/08 14:59,500,その他,鯖江市
愛知県,名古屋市,21,女性,2022/10/08 14:59,500,その他,鯖江市
東京都,渋谷区,39,男性,2022/10/08 14:59,"5,000",漆器,鯖江市
千葉県,我孫子市,39,男性,2022/10/08 14:59,320,飲食,鯖江市
東京都,江東区,22,男性,2022/10/08 14:59,"1,381",その他,鯖江市
静岡県,東伊豆町,22,女性,2022/10/08 15:00,"4,000",漆器,鯖江市
大阪府,八尾市,23,女性,2022/10/08 15:00,"2,200",漆器,鯖江市
岡山県,岡山市,23,女性,2022/10/08 15:01,"2,200",漆器,鯖江市
福井県,鯖江市,57,女性,2022/10/08 15:01,33,その他,鯖江市
神奈川県,横浜市,46,女性,2022/10/08 15:01,"5,000",漆器,鯖江市
福井県,福井市,38,女性,2022/10/08 15:02,"2,500",漆器,鯖江市
京都府,京都市,24,女性,2022/10/08 15:02,"2,200",漆器,鯖江市
福井県,福井市,28,女性,2022/10/08 15:02,"3,060",その他,鯖江市
群馬県,太田市,38,女性,2022/10/08 15:02,"1,650",漆器,鯖江市
京都府,京都市下京区,25,女性,2022/10/08 15:03,"2,200",漆器,鯖江市
兵庫県,豊岡市,23,男性,2022/10/08 15:03,"3,500",漆器,鯖江市
大阪府,大阪市,23,女性,2022/10/08 15:03,"2,500",漆器,鯖江市
大阪府,大阪市,23,女性,2022/10/08 15:04,"2,500",漆器,鯖江市
福井県,越前市,39,女性,2022/10/08 15:04,"5,000",和紙,越前市
東京都,世田谷区,32,女性,2022/10/08 15:04,"2,200",漆器,鯖江市
福井県,福井市,55,男性,2022/10/08 15:05,418,和紙,越前市
福井県,福井市,60,男性,2022/10/08 15:06,"2,000",和紙,越前市
佐賀県,有田町,33,男性,2022/10/08 15:08,"5,280",和紙,越前市
東京都,小金井市,26,女性,2022/10/08 15:10,"1,000",その他,鯖江市
福井県,福井市,38,男性,2022/10/08 15:12,"4,935",その他,鯖江市
愛知県,豊橋市,34,男性,2022/10/08 15:14,"1,500",その他,鯖江市
福井県,福井市,49,女性,2022/10/08 15:14,500,眼鏡,鯖江市
東京都,杉並区,33,女性,2022/10/08 15:19,"3,000",眼鏡,鯖江市
神奈川県,小田原市,29,女性,2022/10/08 15:19,"1,270",和紙,越前市
福井県,福井市,47,男性,2022/10/08 15:19,"1,650",漆器,鯖江市
愛知県,稲沢市,23,回答なし,2022/10/08 15:19,"4,000",その他,鯖江市
福井県,坂井市,26,女性,2022/10/08 15:19,"1,000",和紙,越前市
愛知県,豊橋市,34,男性,2022/10/08 15:19,"1,000",その他,鯖江市
福井県,鯖江市,55,女性,2022/10/08 15:20,"1,000",その他,鯖江市
福井県,福井市,55,女性,2022/10/08 15:20,"4,400",眼鏡,鯖江市
福井県,鯖江市,26,女性,2022/10/08 15:20,"21,500",打刃物,越前市
福井県,福井市,60,男性,2022/10/08 15:21,"3,895",和紙,越前市
福井県,越前市,41,男性,2022/10/08 15:22,"4,000",漆器,鯖江市
東京都,世田谷区,29,女性,2022/10/08 15:24,"1,400",和紙,越前市
石川県,金沢市,22,男性,2022/10/08 15:24,400,その他,鯖江市
兵庫県,洲本市,31,男性,2022/10/08 15:25,"2,000",その他,鯖江市
兵庫県,明石市,39,男性,2022/10/08 15:25,880,和紙,越前市
大阪府,大阪市,27,女性,2022/10/08 15:26,"6,000",その他,鯖江市
神奈川県,川崎市,24,女性,2022/10/08 15:27,"2,970",眼鏡,鯖江市
福井県,福井市,49,女性,2022/10/08 15:27,800,漆器,鯖江市
福井県,鯖江市,39,男性,2022/10/08 15:28,500,その他,鯖江市
福井県,福井市,32,男性,2022/10/08 15:28,"1,640",飲食,鯖江市
奈良県,香芝市,54,男性,2022/10/08 15:28,"5,500",打刃物,越前市
大阪府,豊中市,24,女性,2022/10/08 15:29,"6,000",その他,鯖江市
福井県,鯖江市,31,男性,2022/10/08 15:31,"6,000",漆器,鯖江市
大阪府,大阪市東成区,31,女性,2022/10/08 15:31,500,その他,鯖江市
群馬県,太田市,38,女性,2022/10/08 15:31,320,飲食,鯖江市
