population_statistics,調査年,標準地域コード,町丁字コード,都道府県名,市区町村名,行政区名,大字・町名,字・丁目名,最少年齢,最大年齢,人口,男性人口,女性人口,備考
statistical_population_data_337,2013,182028,,福井県,敦賀市,,,,60,60,975,489,486,
statistical_population_data_338,2013,182028,,福井県,敦賀市,,,,61,61,965,482,483,
statistical_population_data_339,2013,182028,,福井県,敦賀市,,,,62,62,994,501,493,
statistical_population_data_340,2013,182028,,福井県,敦賀市,,,,63,63,1144,548,596,
statistical_population_data_341,2013,182028,,福井県,敦賀市,,,,64,64,1250,642,608,
statistical_population_data_342,2013,182028,,福井県,敦賀市,,,,65,65,1171,572,599,
statistical_population_data_343,2013,182028,,福井県,敦賀市,,,,66,66,1056,517,539,
statistical_population_data_344,2013,182028,,福井県,敦賀市,,,,67,67,600,286,314,
statistical_population_data_345,2013,182028,,福井県,敦賀市,,,,68,68,671,335,336,
statistical_population_data_346,2013,182028,,福井県,敦賀市,,,,69,69,795,365,430,
statistical_population_data_347,2013,182028,,福井県,敦賀市,,,,70,70,831,392,439,
statistical_population_data_348,2013,182028,,福井県,敦賀市,,,,71,71,793,369,424,
statistical_population_data_349,2013,182028,,福井県,敦賀市,,,,72,72,715,344,371,
statistical_population_data_350,2013,182028,,福井県,敦賀市,,,,73,73,662,299,363,
statistical_population_data_351,2013,182028,,福井県,敦賀市,,,,74,74,565,262,303,
statistical_population_data_352,2013,182028,,福井県,敦賀市,,,,75,75,606,269,337,
statistical_population_data_353,2013,182028,,福井県,敦賀市,,,,76,76,674,297,377,
statistical_population_data_354,2013,182028,,福井県,敦賀市,,,,77,77,657,261,396,
statistical_population_data_355,2013,182028,,福井県,敦賀市,,,,78,78,573,227,346,
statistical_population_data_356,2013,182028,,福井県,敦賀市,,,,79,79,588,227,361,
statistical_population_data_357,2013,182028,,福井県,敦賀市,,,,80,80,581,237,344,
statistical_population_data_358,2013,182028,,福井県,敦賀市,,,,81,81,628,244,384,
statistical_population_data_359,2013,182028,,福井県,敦賀市,,,,82,82,599,256,343,
statistical_population_data_360,2013,182028,,福井県,敦賀市,,,,83,83,525,216,309,
statistical_population_data_361,2013,182028,,福井県,敦賀市,,,,84,84,494,191,303,
statistical_population_data_362,2013,182028,,福井県,敦賀市,,,,85,85,415,138,277,
statistical_population_data_363,2013,182028,,福井県,敦賀市,,,,86,86,371,129,242,
statistical_population_data_364,2013,182028,,福井県,敦賀市,,,,87,87,338,112,226,
statistical_population_data_365,2013,182028,,福井県,敦賀市,,,,88,88,347,99,248,
statistical_population_data_366,2013,182028,,福井県,敦賀市,,,,89,89,217,71,146,
statistical_population_data_367,2013,182028,,福井県,敦賀市,,,,90,,908,200,708,
statistical_population_data_368,2013,182028,,福井県,敦賀市,,,,0,,68246,33510,34736,
statistical_population_data_369,2014,182028,,福井県,敦賀市,,,,0,0,575,300,275,
statistical_population_data_370,2014,182028,,福井県,敦賀市,,,,1,1,589,285,304,
statistical_population_data_371,2014,182028,,福井県,敦賀市,,,,2,2,586,309,277,
statistical_population_data_372,2014,182028,,福井県,敦賀市,,,,3,3,629,314,315,
statistical_population_data_373,2014,182028,,福井県,敦賀市,,,,4,4,628,333,295,
statistical_population_data_374,2014,182028,,福井県,敦賀市,,,,5,5,604,308,296,
statistical_population_data_375,2014,182028,,福井県,敦賀市,,,,6,6,630,300,330,
statistical_population_data_376,2014,182028,,福井県,敦賀市,,,,7,7,652,339,313,
statistical_population_data_377,2014,182028,,福井県,敦賀市,,,,8,8,655,363,292,
statistical_population_data_378,2014,182028,,福井県,敦賀市,,,,9,9,594,304,290,
statistical_population_data_379,2014,182028,,福井県,敦賀市,,,,10,10,661,329,332,
statistical_population_data_380,2014,182028,,福井県,敦賀市,,,,11,11,673,343,330,
statistical_population_data_381,2014,182028,,福井県,敦賀市,,,,12,12,641,318,323,
statistical_population_data_382,2014,182028,,福井県,敦賀市,,,,13,13,708,356,352,
statistical_population_data_383,2014,182028,,福井県,敦賀市,,,,14,14,678,357,321,
statistical_population_data_384,2014,182028,,福井県,敦賀市,,,,15,15,709,385,324,
statistical_population_data_385,2014,182028,,福井県,敦賀市,,,,16,16,709,372,337,
statistical_population_data_386,2014,182028,,福井県,敦賀市,,,,17,17,719,366,353,
statistical_population_data_387,2014,182028,,福井県,敦賀市,,,,18,18,630,332,298,
statistical_population_data_388,2014,182028,,福井県,敦賀市,,,,19,19,632,327,305,
statistical_population_data_389,2014,182028,,福井県,敦賀市,,,,20,20,623,332,291,
statistical_population_data_390,2014,182028,,福井県,敦賀市,,,,21,21,623,318,305,
statistical_population_data_391,2014,182028,,福井県,敦賀市,,,,22,22,611,313,298,
statistical_population_data_392,2014,182028,,福井県,敦賀市,,,,23,23,593,323,270,
statistical_population_data_393,2014,182028,,福井県,敦賀市,,,,24,24,668,346,322,
statistical_population_data_394,2014,182028,,福井県,敦賀市,,,,25,25,672,371,301,
statistical_population_data_395,2014,182028,,福井県,敦賀市,,,,26,26,620,322,298,
statistical_population_data_396,2014,182028,,福井県,敦賀市,,,,27,27,708,370,338,
statistical_population_data_397,2014,182028,,福井県,敦賀市,,,,28,28,713,382,331,
statistical_population_data_398,2014,182028,,福井県,敦賀市,,,,29,29,801,406,395,
statistical_population_data_399,2014,182028,,福井県,敦賀市,,,,30,30,754,379,375,
statistical_population_data_400,2014,182028,,福井県,敦賀市,,,,31,31,768,385,383,
statistical_population_data_401,2014,182028,,福井県,敦賀市,,,,32,32,729,386,343,
statistical_population_data_402,2014,182028,,福井県,敦賀市,,,,33,33,838,418,420,
statistical_population_data_403,2014,182028,,福井県,敦賀市,,,,34,34,794,405,389,
statistical_population_data_404,2014,182028,,福井県,敦賀市,,,,35,35,822,416,406,
statistical_population_data_405,2014,182028,,福井県,敦賀市,,,,36,36,837,447,390,
statistical_population_data_406,2014,182028,,福井県,敦賀市,,,,37,37,877,450,427,
statistical_population_data_407,2014,182028,,福井県,敦賀市,,,,38,38,994,508,486,
statistical_population_data_408,2014,182028,,福井県,敦賀市,,,,39,39,1010,514,496,
statistical_population_data_409,2014,182028,,福井県,敦賀市,,,,40,40,1020,511,509,
statistical_population_data_410,2014,182028,,福井県,敦賀市,,,,41,41,1076,538,538,
statistical_population_data_411,2014,182028,,福井県,敦賀市,,,,42,42,1044,521,523,
statistical_population_data_412,2014,182028,,福井県,敦賀市,,,,43,43,944,486,458,
statistical_population_data_413,2014,182028,,福井県,敦賀市,,,,44,44,906,453,453,
statistical_population_data_414,2014,182028,,福井県,敦賀市,,,,45,45,901,468,433,
statistical_population_data_415,2014,182028,,福井県,敦賀市,,,,46,46,892,464,428,
statistical_population_data_416,2014,182028,,福井県,敦賀市,,,,47,47,920,459,461,
statistical_population_data_417,2014,182028,,福井県,敦賀市,,,,48,48,646,329,317,
statistical_population_data_418,2014,182028,,福井県,敦賀市,,,,49,49,854,439,415,
statistical_population_data_419,2014,182028,,福井県,敦賀市,,,,50,50,879,446,433,
statistical_population_data_420,2014,182028,,福井県,敦賀市,,,,51,51,829,417,412,
statistical_population_data_421,2014,182028,,福井県,敦賀市,,,,52,52,851,418,433,
statistical_population_data_422,2014,182028,,福井県,敦賀市,,,,53,53,829,449,380,
statistical_population_data_423,2014,182028,,福井県,敦賀市,,,,54,54,860,431,429,
statistical_population_data_424,2014,182028,,福井県,敦賀市,,,,55,55,908,468,440,
statistical_population_data_425,2014,182028,,福井県,敦賀市,,,,56,56,869,464,405,
statistical_population_data_426,2014,182028,,福井県,敦賀市,,,,57,57,827,422,405,
statistical_population_data_427,2014,182028,,福井県,敦賀市,,,,58,58,929,464,465,
statistical_population_data_428,2014,182028,,福井県,敦賀市,,,,59,59,943,482,461,
statistical_population_data_429,2014,182028,,福井県,敦賀市,,,,60,60,858,452,406,
statistical_population_data_430,2014,182028,,福井県,敦賀市,,,,61,61,974,484,490,
statistical_population_data_431,2014,182028,,福井県,敦賀市,,,,62,62,967,488,479,
statistical_population_data_432,2014,182028,,福井県,敦賀市,,,,63,63,993,499,494,
statistical_population_data_433,2014,182028,,福井県,敦賀市,,,,64,64,1143,548,595,
statistical_population_data_434,2014,182028,,福井県,敦賀市,,,,65,65,1235,634,601,
statistical_population_data_435,2014,182028,,福井県,敦賀市,,,,66,66,1167,569,598,
statistical_population_data_436,2014,182028,,福井県,敦賀市,,,,67,67,1050,510,540,
statistical_population_data_437,2014,182028,,福井県,敦賀市,,,,68,68,592,280,312,
statistical_population_data_438,2014,182028,,福井県,敦賀市,,,,69,69,666,333,333,
statistical_population_data_439,2014,182028,,福井県,敦賀市,,,,70,70,786,360,426,
statistical_population_data_440,2014,182028,,福井県,敦賀市,,,,71,71,821,384,437,
statistical_population_data_441,2014,182028,,福井県,敦賀市,,,,72,72,781,363,418,
statistical_population_data_442,2014,182028,,福井県,敦賀市,,,,73,73,707,340,367,
statistical_population_data_443,2014,182028,,福井県,敦賀市,,,,74,74,650,290,360,
statistical_population_data_444,2014,182028,,福井県,敦賀市,,,,75,75,550,251,299,
statistical_population_data_445,2014,182028,,福井県,敦賀市,,,,76,76,601,266,335,
statistical_population_data_446,2014,182028,,福井県,敦賀市,,,,77,77,662,288,374,
statistical_population_data_447,2014,182028,,福井県,敦賀市,,,,78,78,637,250,387,
statistical_population_data_448,2014,182028,,福井県,敦賀市,,,,79,79,553,214,339,
statistical_population_data_449,2014,182028,,福井県,敦賀市,,,,80,80,569,216,353,
statistical_population_data_450,2014,182028,,福井県,敦賀市,,,,81,81,560,228,332,
statistical_population_data_451,2014,182028,,福井県,敦賀市,,,,82,82,604,227,377,
statistical_population_data_452,2014,182028,,福井県,敦賀市,,,,83,83,567,232,335,
statistical_population_data_453,2014,182028,,福井県,敦賀市,,,,84,84,493,192,301,
statistical_population_data_454,2014,182028,,福井県,敦賀市,,,,85,85,463,174,289,
statistical_population_data_455,2014,182028,,福井県,敦賀市,,,,86,86,387,126,261,
statistical_population_data_456,2014,182028,,福井県,敦賀市,,,,87,87,344,120,224,
statistical_population_data_457,2014,182028,,福井県,敦賀市,,,,88,88,307,100,207,
statistical_population_data_458,2014,182028,,福井県,敦賀市,,,,89,89,324,93,231,
statistical_population_data_459,2014,182028,,福井県,敦賀市,,,,90,,950,225,725,
statistical_population_data_460,2014,182028,,福井県,敦賀市,,,,0,,67845,33296,34549,
statistical_population_data_461,2015,182028,,福井県,敦賀市,,,,0,0,548,267,281,
statistical_population_data_462,2015,182028,,福井県,敦賀市,,,,1,1,566,294,272,
statistical_population_data_463,2015,182028,,福井県,敦賀市,,,,2,2,577,282,295,
statistical_population_data_464,2015,182028,,福井県,敦賀市,,,,3,3,574,301,273,
statistical_population_data_465,2015,182028,,福井県,敦賀市,,,,4,4,610,302,308,
statistical_population_data_466,2015,182028,,福井県,敦賀市,,,,5,5,627,334,293,
statistical_population_data_467,2015,182028,,福井県,敦賀市,,,,6,6,595,300,295,
statistical_population_data_468,2015,182028,,福井県,敦賀市,,,,7,7,625,295,330,
statistical_population_data_469,2015,182028,,福井県,敦賀市,,,,8,8,646,335,311,
statistical_population_data_470,2015,182028,,福井県,敦賀市,,,,9,9,655,368,287,
statistical_population_data_471,2015,182028,,福井県,敦賀市,,,,10,10,594,305,289,
statistical_population_data_472,2015,182028,,福井県,敦賀市,,,,11,11,654,325,329,
statistical_population_data_473,2015,182028,,福井県,敦賀市,,,,12,12,671,343,328,
statistical_population_data_474,2015,182028,,福井県,敦賀市,,,,13,13,642,321,321,
statistical_population_data_475,2015,182028,,福井県,敦賀市,,,,14,14,703,357,346,
statistical_population_data_476,2015,182028,,福井県,敦賀市,,,,15,15,678,357,321,
statistical_population_data_477,2015,182028,,福井県,敦賀市,,,,16,16,707,383,324,
statistical_population_data_478,2015,182028,,福井県,敦賀市,,,,17,17,712,373,339,
statistical_population_data_479,2015,182028,,福井県,敦賀市,,,,18,18,701,361,340,
statistical_population_data_480,2015,182028,,福井県,敦賀市,,,,19,19,599,322,277,
statistical_population_data_481,2015,182028,,福井県,敦賀市,,,,20,20,621,327,294,
statistical_population_data_482,2015,182028,,福井県,敦賀市,,,,21,21,604,328,276,
statistical_population_data_483,2015,182028,,福井県,敦賀市,,,,22,22,605,313,292,
statistical_population_data_484,2015,182028,,福井県,敦賀市,,,,23,23,582,310,272,
statistical_population_data_485,2015,182028,,福井県,敦賀市,,,,24,24,586,320,266,
statistical_population_data_486,2015,182028,,福井県,敦賀市,,,,25,25,689,352,337,
statistical_population_data_487,2015,182028,,福井県,敦賀市,,,,26,26,667,365,302,
statistical_population_data_488,2015,182028,,福井県,敦賀市,,,,27,27,618,314,304,
statistical_population_data_489,2015,182028,,福井県,敦賀市,,,,28,28,718,383,335,
statistical_population_data_490,2015,182028,,福井県,敦賀市,,,,29,29,704,381,323,
statistical_population_data_491,2015,182028,,福井県,敦賀市,,,,30,30,779,379,400,
statistical_population_data_492,2015,182028,,福井県,敦賀市,,,,31,31,739,371,368,
statistical_population_data_493,2015,182028,,福井県,敦賀市,,,,32,32,749,378,371,
statistical_population_data_494,2015,182028,,福井県,敦賀市,,,,33,33,727,384,343,
statistical_population_data_495,2015,182028,,福井県,敦賀市,,,,34,34,822,410,412,
statistical_population_data_496,2015,182028,,福井県,敦賀市,,,,35,35,781,406,375,
statistical_population_data_497,2015,182028,,福井県,敦賀市,,,,36,36,801,402,399,
statistical_population_data_498,2015,182028,,福井県,敦賀市,,,,37,37,847,456,391,
statistical_population_data_499,2015,182028,,福井県,敦賀市,,,,38,38,865,443,422,
statistical_population_data_500,2015,182028,,福井県,敦賀市,,,,39,39,986,499,487,
statistical_population_data_501,2015,182028,,福井県,敦賀市,,,,40,40,1001,511,490,
statistical_population_data_502,2015,182028,,福井県,敦賀市,,,,41,41,1005,513,492,
statistical_population_data_503,2015,182028,,福井県,敦賀市,,,,42,42,1070,542,528,
statistical_population_data_504,2015,182028,,福井県,敦賀市,,,,43,43,1043,522,521,
statistical_population_data_505,2015,182028,,福井県,敦賀市,,,,44,44,935,478,457,
statistical_population_data_506,2015,182028,,福井県,敦賀市,,,,45,45,907,453,454,
statistical_population_data_507,2015,182028,,福井県,敦賀市,,,,46,46,901,466,435,
statistical_population_data_508,2015,182028,,福井県,敦賀市,,,,47,47,888,457,431,
statistical_population_data_509,2015,182028,,福井県,敦賀市,,,,48,48,915,456,459,
statistical_population_data_510,2015,182028,,福井県,敦賀市,,,,49,49,646,333,313,
statistical_population_data_511,2015,182028,,福井県,敦賀市,,,,50,50,855,442,413,
statistical_population_data_512,2015,182028,,福井県,敦賀市,,,,51,51,870,439,431,
statistical_population_data_513,2015,182028,,福井県,敦賀市,,,,52,52,820,410,410,
statistical_population_data_514,2015,182028,,福井県,敦賀市,,,,53,53,852,422,430,
statistical_population_data_515,2015,182028,,福井県,敦賀市,,,,54,54,828,446,382,
statistical_population_data_516,2015,182028,,福井県,敦賀市,,,,55,55,857,430,427,
statistical_population_data_517,2015,182028,,福井県,敦賀市,,,,56,56,907,470,437,
statistical_population_data_518,2015,182028,,福井県,敦賀市,,,,57,57,854,453,401,
statistical_population_data_519,2015,182028,,福井県,敦賀市,,,,58,58,823,421,402,
statistical_population_data_520,2015,182028,,福井県,敦賀市,,,,59,59,935,466,469,
statistical_population_data_521,2015,182028,,福井県,敦賀市,,,,60,60,933,479,454,
statistical_population_data_522,2015,182028,,福井県,敦賀市,,,,61,61,853,450,403,
statistical_population_data_523,2015,182028,,福井県,敦賀市,,,,62,62,962,477,485,
statistical_population_data_524,2015,182028,,福井県,敦賀市,,,,63,63,961,485,476,
statistical_population_data_525,2015,182028,,福井県,敦賀市,,,,64,64,986,493,493,
statistical_population_data_526,2015,182028,,福井県,敦賀市,,,,65,65,1128,538,590,
statistical_population_data_527,2015,182028,,福井県,敦賀市,,,,66,66,1226,627,599,
statistical_population_data_528,2015,182028,,福井県,敦賀市,,,,67,67,1154,564,590,
statistical_population_data_529,2015,182028,,福井県,敦賀市,,,,68,68,1047,506,541,
statistical_population_data_530,2015,182028,,福井県,敦賀市,,,,69,69,583,274,309,
statistical_population_data_531,2015,182028,,福井県,敦賀市,,,,70,70,654,329,325,
statistical_population_data_532,2015,182028,,福井県,敦賀市,,,,71,71,776,355,421,
statistical_population_data_533,2015,182028,,福井県,敦賀市,,,,72,72,810,379,431,
statistical_population_data_534,2015,182028,,福井県,敦賀市,,,,73,73,768,356,412,
statistical_population_data_535,2015,182028,,福井県,敦賀市,,,,74,74,693,331,362,
statistical_population_data_536,2015,182028,,福井県,敦賀市,,,,75,75,632,275,357,
statistical_population_data_537,2015,182028,,福井県,敦賀市,,,,76,76,536,238,298,
statistical_population_data_538,2015,182028,,福井県,敦賀市,,,,77,77,593,263,330,
statistical_population_data_539,2015,182028,,福井県,敦賀市,,,,78,78,642,275,367,
statistical_population_data_540,2015,182028,,福井県,敦賀市,,,,79,79,622,242,380,
statistical_population_data_541,2015,182028,,福井県,敦賀市,,,,80,80,540,208,332,
statistical_population_data_542,2015,182028,,福井県,敦賀市,,,,81,81,540,202,338,
statistical_population_data_543,2015,182028,,福井県,敦賀市,,,,82,82,538,220,318,
statistical_population_data_544,2015,182028,,福井県,敦賀市,,,,83,83,579,212,367,
statistical_population_data_545,2015,182028,,福井県,敦賀市,,,,84,84,548,221,327,
statistical_population_data_546,2015,182028,,福井県,敦賀市,,,,85,85,468,182,286,
statistical_population_data_547,2015,182028,,福井県,敦賀市,,,,86,86,432,157,275,
statistical_population_data_548,2015,182028,,福井県,敦賀市,,,,87,87,358,113,245,
statistical_population_data_549,2015,182028,,福井県,敦賀市,,,,88,88,319,108,211,
statistical_population_data_550,2015,182028,,福井県,敦賀市,,,,89,89,277,87,190,
statistical_population_data_551,2015,182028,,福井県,敦賀市,,,,90,,1061,261,800,
statistical_population_data_552,2015,182028,,福井県,敦賀市,,,,0,,67305,33083,34222,
statistical_population_data_553,2016,182028,,福井県,敦賀市,,,,0,0,538,276,262,
statistical_population_data_554,2016,182028,,福井県,敦賀市,,,,1,1,567,279,288,
statistical_population_data_555,2016,182028,,福井県,敦賀市,,,,2,2,578,299,279,
statistical_population_data_556,2016,182028,,福井県,敦賀市,,,,3,3,570,275,295,
statistical_population_data_557,2016,182028,,福井県,敦賀市,,,,4,4,570,296,274,
statistical_population_data_558,2016,182028,,福井県,敦賀市,,,,5,5,616,307,309,
statistical_population_data_559,2016,182028,,福井県,敦賀市,,,,6,6,624,333,291,
statistical_population_data_560,2016,182028,,福井県,敦賀市,,,,7,7,590,297,293,
statistical_population_data_561,2016,182028,,福井県,敦賀市,,,,8,8,627,297,330,
statistical_population_data_562,2016,182028,,福井県,敦賀市,,,,9,9,637,329,308,
statistical_population_data_563,2016,182028,,福井県,敦賀市,,,,10,10,657,371,286,
statistical_population_data_564,2016,182028,,福井県,敦賀市,,,,11,11,594,305,289,
statistical_population_data_565,2016,182028,,福井県,敦賀市,,,,12,12,646,323,323,
statistical_population_data_566,2016,182028,,福井県,敦賀市,,,,13,13,665,339,326,
statistical_population_data_567,2016,182028,,福井県,敦賀市,,,,14,14,643,322,321,
statistical_population_data_568,2016,182028,,福井県,敦賀市,,,,15,15,706,360,346,
statistical_population_data_569,2016,182028,,福井県,敦賀市,,,,16,16,676,359,317,
statistical_population_data_570,2016,182028,,福井県,敦賀市,,,,17,17,709,383,326,
statistical_population_data_571,2016,182028,,福井県,敦賀市,,,,18,18,687,355,332,
statistical_population_data_572,2016,182028,,福井県,敦賀市,,,,19,19,687,348,339,
statistical_population_data_573,2016,182028,,福井県,敦賀市,,,,20,20,578,306,272,
statistical_population_data_574,2016,182028,,福井県,敦賀市,,,,21,21,618,328,290,
statistical_population_data_575,2016,182028,,福井県,敦賀市,,,,22,22,591,334,257,
statistical_population_data_576,2016,182028,,福井県,敦賀市,,,,23,23,629,337,292,
statistical_population_data_577,2016,182028,,福井県,敦賀市,,,,24,24,581,308,273,
statistical_population_data_578,2016,182028,,福井県,敦賀市,,,,25,25,584,319,265,
statistical_population_data_579,2016,182028,,福井県,敦賀市,,,,26,26,659,341,318,
statistical_population_data_580,2016,182028,,福井県,敦賀市,,,,27,27,662,354,308,
statistical_population_data_581,2016,182028,,福井県,敦賀市,,,,28,28,612,307,305,
statistical_population_data_582,2016,182028,,福井県,敦賀市,,,,29,29,725,386,339,
statistical_population_data_583,2016,182028,,福井県,敦賀市,,,,30,30,717,388,329,
statistical_population_data_584,2016,182028,,福井県,敦賀市,,,,31,31,763,368,395,
statistical_population_data_585,2016,182028,,福井県,敦賀市,,,,32,32,734,369,365,
statistical_population_data_586,2016,182028,,福井県,敦賀市,,,,33,33,753,385,368,
statistical_population_data_587,2016,182028,,福井県,敦賀市,,,,34,34,725,386,339,
statistical_population_data_588,2016,182028,,福井県,敦賀市,,,,35,35,810,401,409,
statistical_population_data_589,2016,182028,,福井県,敦賀市,,,,36,36,777,401,376,
statistical_population_data_590,2016,182028,,福井県,敦賀市,,,,37,37,811,408,403,
statistical_population_data_591,2016,182028,,福井県,敦賀市,,,,38,38,844,456,388,
statistical_population_data_592,2016,182028,,福井県,敦賀市,,,,39,39,865,443,422,
statistical_population_data_593,2016,182028,,福井県,敦賀市,,,,40,40,982,498,484,
statistical_population_data_594,2016,182028,,福井県,敦賀市,,,,41,41,996,510,486,
statistical_population_data_595,2016,182028,,福井県,敦賀市,,,,42,42,997,505,492,
statistical_population_data_596,2016,182028,,福井県,敦賀市,,,,43,43,1074,542,532,
statistical_population_data_597,2016,182028,,福井県,敦賀市,,,,44,44,1045,523,522,
statistical_population_data_598,2016,182028,,福井県,敦賀市,,,,45,45,933,478,455,
statistical_population_data_599,2016,182028,,福井県,敦賀市,,,,46,46,909,449,460,
statistical_population_data_600,2016,182028,,福井県,敦賀市,,,,47,47,899,464,435,
statistical_population_data_601,2016,182028,,福井県,敦賀市,,,,48,48,880,449,431,
statistical_population_data_602,2016,182028,,福井県,敦賀市,,,,49,49,910,452,458,
statistical_population_data_603,2016,182028,,福井県,敦賀市,,,,50,50,641,332,309,
statistical_population_data_604,2016,182028,,福井県,敦賀市,,,,51,51,856,447,409,
statistical_population_data_605,2016,182028,,福井県,敦賀市,,,,52,52,864,436,428,
statistical_population_data_606,2016,182028,,福井県,敦賀市,,,,53,53,822,413,409,
statistical_population_data_607,2016,182028,,福井県,敦賀市,,,,54,54,848,422,426,
statistical_population_data_608,2016,182028,,福井県,敦賀市,,,,55,55,824,448,376,
statistical_population_data_609,2016,182028,,福井県,敦賀市,,,,56,56,845,419,426,
statistical_population_data_610,2016,182028,,福井県,敦賀市,,,,57,57,910,472,438,
statistical_population_data_611,2016,182028,,福井県,敦賀市,,,,58,58,839,443,396,
statistical_population_data_612,2016,182028,,福井県,敦賀市,,,,59,59,810,410,400,
statistical_population_data_613,2016,182028,,福井県,敦賀市,,,,60,60,930,462,468,
statistical_population_data_614,2016,182028,,福井県,敦賀市,,,,61,61,921,472,449,
statistical_population_data_615,2016,182028,,福井県,敦賀市,,,,62,62,842,443,399,
statistical_population_data_616,2016,182028,,福井県,敦賀市,,,,63,63,960,476,484,
statistical_population_data_617,2016,182028,,福井県,敦賀市,,,,64,64,955,479,476,
statistical_population_data_618,2016,182028,,福井県,敦賀市,,,,65,65,978,488,490,
statistical_population_data_619,2016,182028,,福井県,敦賀市,,,,66,66,1123,535,588,
statistical_population_data_620,2016,182028,,福井県,敦賀市,,,,67,67,1209,618,591,
statistical_population_data_621,2016,182028,,福井県,敦賀市,,,,68,68,1141,555,586,
statistical_population_data_622,2016,182028,,福井県,敦賀市,,,,69,69,1028,494,534,
statistical_population_data_623,2016,182028,,福井県,敦賀市,,,,70,70,577,271,306,
statistical_population_data_624,2016,182028,,福井県,敦賀市,,,,71,71,641,319,322,
statistical_population_data_625,2016,182028,,福井県,敦賀市,,,,72,72,767,351,416,
statistical_population_data_626,2016,182028,,福井県,敦賀市,,,,73,73,798,367,431,
statistical_population_data_627,2016,182028,,福井県,敦賀市,,,,74,74,754,344,410,
statistical_population_data_628,2016,182028,,福井県,敦賀市,,,,75,75,680,322,358,
statistical_population_data_629,2016,182028,,福井県,敦賀市,,,,76,76,615,263,352,
statistical_population_data_630,2016,182028,,福井県,敦賀市,,,,77,77,530,234,296,
statistical_population_data_631,2016,182028,,福井県,敦賀市,,,,78,78,581,255,326,
statistical_population_data_632,2016,182028,,福井県,敦賀市,,,,79,79,620,264,356,
statistical_population_data_633,2016,182028,,福井県,敦賀市,,,,80,80,595,227,368,
statistical_population_data_634,2016,182028,,福井県,敦賀市,,,,81,81,526,202,324,
statistical_population_data_635,2016,182028,,福井県,敦賀市,,,,82,82,519,193,326,
statistical_population_data_636,2016,182028,,福井県,敦賀市,,,,83,83,515,206,309,
statistical_population_data_637,2016,182028,,福井県,敦賀市,,,,84,84,545,193,352,
statistical_population_data_638,2016,182028,,福井県,敦賀市,,,,85,85,506,199,307,
statistical_population_data_639,2016,182028,,福井県,敦賀市,,,,86,86,434,162,272,
statistical_population_data_640,2016,182028,,福井県,敦賀市,,,,87,87,404,140,264,
statistical_population_data_641,2016,182028,,福井県,敦賀市,,,,88,88,328,104,224,
statistical_population_data_642,2016,182028,,福井県,敦賀市,,,,89,89,278,92,186,
statistical_population_data_643,2016,182028,,福井県,敦賀市,,,,90,,1105,280,825,
statistical_population_data_644,2016,182028,,福井県,敦賀市,,,,0,,66914,32900,34014,
statistical_population_data_645,2017,182028,,福井県,敦賀市,,,,0,0,549,287,262,
statistical_population_data_646,2017,182028,,福井県,敦賀市,,,,1,1,545,282,263,
statistical_population_data_647,2017,182028,,福井県,敦賀市,,,,2,2,564,278,286,
statistical_population_data_648,2017,182028,,福井県,敦賀市,,,,3,3,584,304,280,
statistical_population_data_649,2017,182028,,福井県,敦賀市,,,,4,4,574,282,292,
statistical_population_data_650,2017,182028,,福井県,敦賀市,,,,5,5,580,302,278,
statistical_population_data_651,2017,182028,,福井県,敦賀市,,,,6,6,609,300,309,
statistical_population_data_652,2017,182028,,福井県,敦賀市,,,,7,7,623,332,291,
statistical_population_data_653,2017,182028,,福井県,敦賀市,,,,8,8,586,295,291,
statistical_population_data_654,2017,182028,,福井県,敦賀市,,,,9,9,628,300,328,
statistical_population_data_655,2017,182028,,福井県,敦賀市,,,,10,10,633,325,308,
statistical_population_data_656,2017,182028,,福井県,敦賀市,,,,11,11,651,365,286,
statistical_population_data_657,2017,182028,,福井県,敦賀市,,,,12,12,589,303,286,
statistical_population_data_658,2017,182028,,福井県,敦賀市,,,,13,13,643,324,319,
statistical_population_data_659,2017,182028,,福井県,敦賀市,,,,14,14,664,340,324,
statistical_population_data_660,2017,182028,,福井県,敦賀市,,,,15,15,638,321,317,
statistical_population_data_661,2017,182028,,福井県,敦賀市,,,,16,16,705,358,347,
statistical_population_data_662,2017,182028,,福井県,敦賀市,,,,17,17,675,355,320,
statistical_population_data_663,2017,182028,,福井県,敦賀市,,,,18,18,692,371,321,
statistical_population_data_664,2017,182028,,福井県,敦賀市,,,,19,19,670,339,331,
statistical_population_data_665,2017,182028,,福井県,敦賀市,,,,20,20,669,341,328,
statistical_population_data_666,2017,182028,,福井県,敦賀市,,,,21,21,562,304,258,
statistical_population_data_667,2017,182028,,福井県,敦賀市,,,,22,22,603,331,272,
statistical_population_data_668,2017,182028,,福井県,敦賀市,,,,23,23,586,341,245,
statistical_population_data_669,2017,182028,,福井県,敦賀市,,,,24,24,617,338,279,
statistical_population_data_670,2017,182028,,福井県,敦賀市,,,,25,25,581,299,282,
statistical_population_data_671,2017,182028,,福井県,敦賀市,,,,26,26,595,326,269,
statistical_population_data_672,2017,182028,,福井県,敦賀市,,,,27,27,643,336,307,
statistical_population_data_673,2017,182028,,福井県,敦賀市,,,,28,28,685,361,324,
statistical_population_data_674,2017,182028,,福井県,敦賀市,,,,29,29,617,316,301,
